City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,howard springs,-12.497,131.047,87.82,75,100,2.24,AU,1732586664
1,puerto baquerizo moreno,-0.9,-89.6,71.13,71,80,10.74,EC,1732586667
2,stanisic,45.94,19.1653,38.79,76,6,7.02,RS,1732586668
3,tsiombe,-25.3,45.4833,75.45,93,53,9.35,MG,1732586669
4,de queen,34.0379,-94.3413,49.01,76,0,4.61,US,1732586670
5,blackmans bay,-43.0167,147.3167,70.52,67,70,7.65,AU,1732586594
6,puerto ayora,-0.7393,-90.3518,72.55,84,41,5.01,EC,1732586672
7,saipan,15.1355,145.701,84.9,86,75,17.27,MP,1732586673
8,brigham city,41.5102,-112.0155,35.38,69,100,1.99,US,1732586503
9,margaret river,-33.95,115.0667,61.63,48,12,14.32,AU,1732586675
10,olonkinbyen,70.9221,-8.7187,27.46,71,100,15.39,SJ,1732586676
11,lebu,-37.6167,-73.65,53.04,86,0,1.5,CL,1732586520
12,st. john's,47.5649,-52.7093,41.27,96,100,8.05,CA,1732586391
13,tshabong,-26.05,22.45,78.98,35,18,10.07,BW,1732586680
14,edinburgh of the seven seas,-37.0676,-12.3116,56.1,75,100,15.99,SH,1732586681
15,nova sintra,14.8667,-24.7167,77.72,75,3,15.46,CV,1732586682
16,bredasdorp,-34.5322,20.0403,59.72,57,100,18.01,ZA,1732586683
17,sorgun,39.8101,35.186,22.73,97,100,3.09,TR,1732586684
18,albany,42.6001,-73.9662,34.79,79,100,1.68,US,1732586685
19,novo aripuana,-5.1206,-60.3797,78.84,78,84,1.79,BR,1732586686
20,ushuaia,-54.8,-68.3,47.86,71,20,18.41,AR,1732586432
21,west island,-12.1568,96.8225,80.58,94,100,19.57,CC,1732586689
22,port-aux-francais,-49.35,70.2167,36.77,85,36,35.19,TF,1732586690
23,east london,-33.0153,27.9116,68.23,75,100,14.36,ZA,1732586691
24,adamstown,-25.066,-130.1015,72.64,77,24,18.39,PN,1732586692
25,weno,7.4515,151.8468,85.95,84,75,8.05,FM,1732586694
26,papatowai,-46.5619,169.4708,63.07,49,64,15.26,NZ,1732586695
27,paka,4.6374,103.4368,78.73,94,40,0.0,MY,1732586696
28,okhotsk,59.3833,143.3,6.96,66,0,10.04,RU,1732586463
29,rundu,-17.9333,19.7667,67.17,72,4,4.14,NA,1732586700
30,punta arenas,-53.15,-70.9167,50.11,66,20,9.22,CL,1732586701
31,fort mcmurray,56.7268,-111.381,4.59,85,100,9.22,CA,1732586481
32,mogadishu,2.0371,45.3438,80.17,84,28,11.63,SO,1732586602
33,rongelap,11.1635,166.8941,83.03,80,30,19.55,MH,1732586705
34,iqaluit,63.7506,-68.5145,8.33,72,100,4.61,CA,1732586657
35,zakynthos,37.7914,20.8953,54.95,56,0,2.13,GR,1732586707
36,creston,41.0586,-94.3614,24.76,74,0,9.22,US,1732586708
37,alice springs,-23.7,133.8833,83.75,54,100,17.27,AU,1732586709
38,avarua,-21.2078,-159.775,78.85,78,100,8.05,CK,1732586711
39,san patricio,28.017,-97.5169,75.15,76,3,7.78,US,1732586712
40,grytviken,-54.2811,-36.5092,33.64,75,100,5.32,GS,1732586713
41,poxoreo,-15.8372,-54.3892,73.24,90,2,4.05,BR,1732586473
42,port mathurin,-19.6833,63.4167,76.33,72,9,16.78,MU,1732586716
43,bilibino,68.0546,166.4372,-29.42,98,11,3.42,RU,1732586717
44,yellowknife,62.456,-114.3525,21.42,93,100,19.57,CA,1732586718
45,malvan,16.0667,73.4667,71.31,52,99,7.58,IN,1732586720
46,talnakh,69.4865,88.3972,23.68,95,100,12.33,RU,1732586721
47,bama,11.5221,13.6856,64.9,46,12,4.34,NG,1732586718
48,sisimiut,66.9395,-53.6735,26.15,94,100,15.08,GL,1732586723
49,maloh,9.056,122.9851,85.17,69,99,18.41,PH,1732586724
50,talakan,50.3167,130.3667,26.83,91,100,15.23,RU,1732586725
51,hithadhoo,-0.6,73.0833,82.8,75,100,15.5,MV,1732586726
52,fortuna,40.5982,-124.1573,52.72,93,75,3.0,US,1732586728
53,khandyga,62.6667,135.6,-18.42,95,75,2.15,RU,1732586729
54,bethel,41.3712,-73.414,41.45,71,99,2.26,US,1732586730
55,kidal,18.4411,1.4078,70.54,21,68,11.9,ML,1732586731
56,waspan,14.7419,-83.9717,74.05,96,16,6.2,NI,1732586732
57,arzua,42.9333,-8.15,47.79,96,100,3.51,ES,1732586733
58,alofi,-19.0595,-169.9187,82.29,78,75,12.66,NU,1732586734
59,pryor creek,36.3084,-95.3169,41.29,60,0,5.01,US,1732586736
60,ulsteinvik,62.3432,5.8487,48.33,83,100,4.76,NO,1732586737
61,kingston,17.997,-76.7936,83.35,70,75,11.5,JM,1732586609
62,aykhal,66.0,111.5,-8.14,96,100,12.12,RU,1732586740
63,hermanus,-34.4187,19.2345,61.81,71,50,21.9,ZA,1732586741
64,assab,13.0092,42.7394,79.56,72,0,23.78,ER,1732586742
65,flin flon,54.7682,-101.865,5.18,99,99,3.96,CA,1732586743
66,prineville,44.2999,-120.8345,38.71,92,100,0.0,US,1732586744
